HOOD_MAP,NAME
Alamo Square,Alamo Square
Anza Vista,Anza Vista
Balboa Terrace,Balboa Terrace
Bayview,Bayview
Bayview Heights,Bayview
Bernal Heights,Bernal Heights
Buena Vista Park/Ashbury Heights,Buena Vista Park
Candlestick Point,Bayview
Central Richmond,Central Richmond
Central Sunset,Central Sunset
Central Waterfront/Dogpatch,Central Waterfront
Clarendon Heights,Castro
Cole Valley/Parnassus Heights,Haight
Corona Heights,Castro
Cow Hollow,Cow Hollow
Crocker Amazon,Crocker Amazon
Diamond Heights,Diamond Heights
Downtown,Downtown
Duboce Triangle,Duboce Triangle
Eureka Valley / Dolores Heights,Castro
Excelsior,Excelsior
Financial District/Barbary Coast,Financial District
Forest Hill,Forest Hill
Forest Hills Extension,Forest Hill Extension
Forest Knolls,Forest Knolls
Glen Park,Glen Park
Golden Gate Heights,Golden Gate Heights
Haight Ashbury,Ashbury Heights
Hayes Valley,Hayes Valley
Hunters Point,Hunters Point
Ingleside,Ingleside
Ingleside Heights,Ingleside Heights
Ingleside Terrace,Ingleside Terrace
Inner Mission,Mission
Inner Parkside,Inner Parkside
Inner Richmond,Inner Richmond
Inner Sunset,Inner Sunset
Jordan Park / Laurel Heights,Laurel Heights
Lake Street,Lake Street
Lakeside,San Francisco State University
Little Hollywood,Visitacion Valley
Lone Mountain,Lone Mountain
Lower Pacific Heights,Lower Pacific Heights
Marina,Marina
Merced Heights,Merced Heights
Merced Manor,Merced Manor
Midtown Terrace,Midtown Terrace
Miraloma Park,Miraloma
Mission Bay,Mission Bay
Mission Dolores,Mission Dolores
Mission Terrace,Mission Terrace
Monterey Heights,Monterey Heights
Mount Davidson Manor,Mount Davidson Manor
Nob Hill,Nob Hill
Noe Valley,Noe Valley
North Beach,North Beach
North Panhandle,Panhandle
North Waterfront,Fisherman's Wharf
Oceanview,Oceanview
Outer Mission,Outer Mission
Outer Parkside,North Park
Outer Richmond,Outer Richmond
Outer Sunset,Outer Sunset
Pacific Heights,Pacific Heights
Parkside,North Park
Portola,Portola
Potrero Hill,Potrero Hill
Presidio Heights,Presidio Heights
Russian Hill,Russian Hill
Saint Francis Wood,Saint Francis Wood
Sea Cliff,Sea Cliff
Sherwood Forest,Sherwood Forest
Silver Terrace,Silver Terrace
South Beach,South Beach
South of Market,SoMa
Stonestown,Stonestown
Sunnyside,Sunnyside
Telegraph Hill,Telegraph Hill
Tenderloin,Tenderloin
Twin Peaks,Twin Peaks
Van Ness/Civic Center,Civic Center
Visitacion Valley,Visitacion Valley
West Portal,West Portal
Western Addition,Western Addition
Westwood Highlands,Westwood Highlands
Westwood Park,Westwood Park
Yerba Buena,SoMa
